Area,Latitude,Longitude,Type,Risk_Level
Saddar,24.8607,67.0011,Snatching,High
Gulshan-e-Iqbal,24.918,67.0971,Accident,Medium
Korangi,24.8253,67.1147,Snatching,High
Shahrah-e-Faisal,24.8719,67.0592,Accident,High
North Nazimabad,24.9372,67.0351,Snatching,Medium
Clifton,24.8138,67.0336,Accident,Low
Malir Halt,24.9,67.1667,Accident,High
Lyari,24.8667,66.9833,Snatching,High
Liaquatabad,24.9083,67.0333,Snatching,High
Federal B Area,24.9297,67.0658,Accident,Medium
Orangi Town,24.95,67.0167,Snatching,High
Rashid Minhas Road,24.9133,67.0886,Accident,High
Defence (DHA),24.82,67.05,Snatching,Low
Sohrab Goth,24.9667,67.0833,Snatching,High
Nazimabad,24.9167,67.0333,Accident,Medium
Gulistan-e-Jauhar,24.91,67.12,Snatching,Medium
University Road,24.925,67.11,Accident,High
Site Area,24.9,67.0,Accident,Medium
Surjani Town,25.02,67.06,Snatching,High
Keamari,24.8167,66.9833,Accident,Medium
Shah Faisal Colony,24.8833,67.15,Snatching,Medium
Nipa Chowrangi,24.9175,67.097,Accident,High
Do Darya,24.78,67.06,Accident,Low
Landhi,24.85,67.1833,Snatching,High
Tower (Custom House),24.8486,67.0014,Accident,Medium
